id,path,is_bee,is_wasp,is_otherinsect,is_other,photo_quality,is_validation,is_final_validation,label
1,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
2,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,1,bee
3,10007154554_026417cfd0_n.jpg,1,0,0,0,1,1,0,bee
4,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,1,bee
5,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
6,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
7,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
8,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
9,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
10,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
11,10007154554_026417cfd0_n.jpg,1,0,0,0,1,1,0,bee
12,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
13,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
14,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
15,10007154554_026417cfd0_n.jpg,1,0,0,0,1,1,0,bee
16,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
17,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
18,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
19,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
20,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
21,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
22,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
23,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,1,bee
24,10007154554_026417cfd0_n.jpg,1,0,0,0,1,1,0,bee
25,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
26,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
27,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
28,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
29,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
30,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
31,10007154554_026417cfd0_n.jpg,1,0,0,0,1,1,0,bee
32,10007154554_026417cfd0_n.jpg,1,0,0,0,1,1,0,bee
33,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
34,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
35,10007154554_026417cfd0_n.jpg,1,0,0,0,1,0,0,bee
